log_id,employee_id,login_timestamp,logout_timestamp
1,11,2023-10-26 09:01:15,2023-10-26 17:05:30
2,12,2023-10-26 09:05:20,2023-10-26 17:10:00
3,13,2023-10-26 08:55:10,2023-10-26 17:01:45
4,14,2023-10-26 09:15:00,2023-10-26 17:30:12
5,18,2023-10-26 08:45:33,2023-10-26 18:00:05
6,19,2023-10-26 08:59:50,2023-10-26 17:45:21
7,11,2023-10-27 08:58:00,2023-10-27 17:02:11
8,12,2023-10-27 09:10:45,
9,13,2023-10-27 09:02:18,2023-10-27 17:05:00
10,15,2023-10-27 09:30:00,2023-10-27 17:45:00
11,20,2023-10-27 08:30:00,2023-10-27 18:00:00
12,21,2023-10-27 09:00:05,2023-10-27 17:00:15
13,22,2023-10-27 09:05:11,2023-10-27 17:33:40
14,23,2023-10-27 09:12:00,2023-10-27 17:55:00
15,27,2023-10-27 08:50:00,
16,1,2023-10-27 08:00:10,2023-10-27 18:30:00
17,2,2023-10-27 08:15:20,2023-10-27 18:10:55
18,3,2023-10-27 08:25:30,2023-10-27 19:00:00
19,4,2023-10-27 09:00:00,2023-10-27 17:00:00
20,5,2023-10-27 09:05:00,2023-10-27 17:30:00
